rodada,event_id,casa,fora,gols_casa,gols_fora,resultado_casa,resultado_fora,xg_casa,xg_fora,chutes_casa,chutes_fora,chutes_no_gol_casa,chutes_no_gol_fora,escanteios_casa,escanteios_fora,posse_casa,posse_fora,grandes_chances_casa,grandes_chances_fora,faltas_casa,faltas_fora,cartoes_amarelos_casa,cartoes_amarelos_fora
1,15237889,Atlético-MG,Palmeiras,2,2,E,E,0.53,1.01,14,13,2,6,5,7,52,48,1,2,14,20,4,2
1,15237891,Coritiba,RB Bragantino,0,1,D,V,0.31,2.77,8,30,2,10,1,5,29,71,0,5,9,19,1,6
1,15237890,Internacional,Athletico,0,1,D,V,2.42,1.59,19,6,7,2,13,1,71,29,3,3,13,11,2,1
1,15237892,Vitória,Remo,2,0,V,D,3.12,1.01,20,14,7,1,4,1,42,58,6,2,13,17,2,4
1,15237884,Fluminense,Grêmio,2,1,V,D,2.33,1.6,10,12,6,3,3,6,51,49,3,2,13,13,1,2
1,15237893,Chapecoense,Santos,4,2,V,D,1.83,1.32,8,25,4,5,1,14,34,66,3,1,10,5,3,3
1,15237887,Corinthians,Bahia,1,2,D,V,1.91,1.51,17,11,5,6,4,6,59,41,3,2,14,14,3,5
1,15237886,São Paulo,Flamengo,2,1,V,D,0.78,2.4,10,15,4,5,2,6,41,59,2,3,14,11,,
1,15237888,Mirassol,Vasco,2,1,V,D,0.68,0.61,13,13,4,5,5,5,47,53,1,1,16,10,2,1
1,15237885,Botafogo,Cruzeiro,4,0,V,D,1.43,1.43,10,17,5,4,3,7,46,54,2,4,10,12,1,2
2,15237894,Flamengo,Internacional,1,1,E,E,1.73,0.76,18,9,5,5,4,3,65,35,3,1,20,18,4,3
2,15237898,RB Bragantino,Atlético-MG,1,0,V,D,1.42,0.44,19,12,5,2,6,12,48,52,4,0,14,8,3,2
2,15237903,Remo,Mirassol,2,2,E,E,1.48,1.76,18,8,7,5,4,4,37,63,1,3,15,9,2,2
2,15237896,Santos,São Paulo,1,1,E,E,1.09,0.59,12,8,3,3,7,4,50,50,1,2,15,21,5,1
2,15237900,Grêmio,Botafogo,5,3,V,D,3.46,1.15,14,9,8,4,4,2,43,57,8,2,13,16,0,3
2,15237897,Palmeiras,Vitória,5,1,V,D,2.38,0.94,17,9,8,4,6,4,60,40,4,3,13,16,1,4
2,15237902,Bahia,Fluminense,1,1,E,E,1.23,1.84,19,13,5,4,6,4,42,58,1,5,12,13,0,3
2,15237895,Vasco,Chapecoense,1,1,E,E,4.81,0.31,30,7,13,1,14,0,67,33,9,0,15,11,,
2,15237899,Cruzeiro,Coritiba,1,2,D,V,0.9,2.35,19,10,4,2,12,2,68,32,0,2,9,17,3,2
2,15369877,Athletico,Corinthians,0,1,D,V,2.05,0.16,19,4,5,1,8,0,56,44,4,0,15,10,3,4
3,15237912,Vitória,Flamengo,1,2,D,V,1.65,0.52,10,6,3,2,7,2,44,56,3,1,12,21,3,4
3,15237913,Chapecoense,Coritiba,3,3,E,E,2.4,2,21,13,8,5,6,5,51,49,2,5,4,8,2,1
3,15237908,Mirassol,Cruzeiro,2,2,E,E,2.42,1.56,20,9,11,4,9,0,56,44,5,1,12,10,3,2
3,15237909,Atlético-MG,Remo,3,3,E,E,2.75,2.38,18,18,8,6,6,5,59,41,9,5,11,14,0,2
3,15237906,São Paulo,Grêmio,2,0,V,D,4.72,0.27,18,5,4,1,3,3,58,42,5,0,11,16,3,4
3,15237905,Vasco,Bahia,0,1,D,V,1.71,0.38,26,8,4,3,8,4,62,38,,,15,14,5,5
3,15237911,Athletico,Santos,2,1,V,D,2.3,0.97,13,10,5,5,8,2,56,44,5,1,15,15,1,3
3,15237904,Fluminense,Botafogo,1,0,V,D,1.56,0.34,10,5,5,3,4,0,48,52,3,0,18,11,5,3
3,15237907,Corinthians,RB Bragantino,2,0,V,D,0.99,1.27,13,9,5,4,3,3,60,40,2,1,17,24,4,4
3,15237910,Internacional,Palmeiras,1,3,D,V,2.15,0.91,26,11,4,7,16,4,62,38,1,1,13,8,1,1
4,15237918,RB Bragantino,Athletico,1,1,E,E,0.64,1,7,18,3,6,2,7,39,61,1,3,18,16,5,2
4,15237924,Remo,Internacional,1,1,E,E,1.4,1.17,11,18,7,4,7,12,41,59,3,1,16,14,5,1
4,15237922,Coritiba,São Paulo,0,1,D,V,0.9,1.32,18,9,2,5,3,7,42,58,2,2,5,19,4,3
4,15237919,Cruzeiro,Corinthians,1,1,E,E,0.74,0.22,11,4,3,2,5,3,48,52,,,15,14,3,3
4,15237921,Grêmio,Atlético-MG,2,1,V,D,0.93,0.41,18,8,7,2,6,3,63,37,1,1,14,5,4,1
4,15237917,Palmeiras,Fluminense,2,1,V,D,1.59,1.23,14,18,6,7,5,11,35,65,1,2,16,16,3,4
4,15237916,Santos,Vasco,2,1,V,D,0.75,1.36,8,16,4,2,5,2,40,60,2,2,19,17,2,1
5,15237929,Mirassol,Santos,2,2,E,E,1.49,1.76,20,16,9,2,6,7,54,46,3,3,9,7,2,2
5,15237930,Atlético-MG,Internacional,1,0,V,D,0.76,1.81,7,19,3,7,2,14,35,65,3,3,16,20,2,2
5,15237933,Bahia,Vitória,1,1,E,E,1.95,0.47,13,6,7,2,7,3,63,37,2,1,17,19,1,1
5,15237928,Corinthians,Coritiba,0,2,D,V,0.67,0.56,11,4,1,2,8,6,73,27,0,1,15,18,2,2
5,15237925,Flamengo,Cruzeiro,2,0,V,D,1.24,0.57,15,13,7,4,4,7,44,56,1,1,19,13,2,2
5,15237934,Remo,Fluminense,0,2,D,V,0.85,2.22,10,15,3,7,6,4,33,67,1,2,11,14,2,1
5,15237926,Vasco,Palmeiras,2,1,V,D,1.5,0.71,17,8,6,3,9,5,50,50,2,1,6,18,2,2
5,15237927,São Paulo,Chapecoense,2,0,V,D,1.53,0.57,18,7,7,1,11,6,63,37,2,1,13,12,0,1
5,15237931,Grêmio,RB Bragantino,1,1,E,E,1.56,1.66,13,20,6,8,4,6,39,61,4,2,13,13,2,4
5,15651590,Athletico,Botafogo,4,1,V,D,1.34,0.81,11,12,8,3,1,8,46,54,4,1,15,13,2,3
6,15237943,Vitória,Atlético-MG,2,0,V,D,0.47,1.17,9,12,4,3,4,10,33,67,0,3,18,13,2,3
6,15237936,Botafogo,Flamengo,0,3,D,V,0.75,1.38,7,18,1,6,2,4,42,58,0,2,16,10,3,2
6,15237935,Fluminense,Athletico,3,2,V,D,2.11,0.54,24,4,10,2,7,1,79,21,5,2,14,9,2,3
6,15237941,Internacional,Bahia,0,1,D,V,1.65,0.85,14,7,2,1,7,1,53,47,3,1,20,20,3,2
6,15237937,Santos,Corinthians,1,1,E,E,1.03,0.46,11,10,3,4,4,6,44,56,1,0,20,15,5,3
6,15237942,Coritiba,Remo,1,0,V,D,0.88,0.7,8,14,4,1,4,6,42,58,2,1,13,11,2,3
6,15237938,Palmeiras,Mirassol,1,0,V,D,0.52,0.65,11,12,4,2,2,4,43,57,1,1,14,17,1,3
6,15237940,Cruzeiro,Vasco,3,3,E,E,1.12,1.37,20,15,6,7,5,4,60,40,4,3,9,11,2,3
6,15237939,RB Bragantino,São Paulo,1,2,D,V,0.61,0.8,13,4,3,3,6,4,50,50,0,1,18,13,4,4
6,15237944,Chapecoense,Grêmio,1,1,E,E,1.15,0.72,11,13,1,4,4,5,35,65,2,1,16,10,3,3
7,15237953,Bahia,RB Bragantino,2,0,V,D,1.79,1.66,15,15,9,3,7,7,57,43,5,2,15,16,3,1
7,15237948,Palmeiras,Botafogo,2,1,V,D,1.92,0.59,19,6,6,3,6,1,52,48,4,2,13,13,1,3
7,15237952,Athletico,Cruzeiro,2,1,V,D,1.18,1.43,8,11,4,2,4,6,48,52,1,2,26,20,2,3
7,15237950,Atlético-MG,São Paulo,1,0,V,D,1.08,0.53,13,12,4,3,4,1,29,71,1,1,16,17,1,1
7,15237949,Mirassol,Coritiba,0,1,D,V,1.74,1.16,21,14,6,4,7,2,69,31,2,3,8,11,2,2
7,15237947,Santos,Internacional,1,2,D,V,1.17,1.24,11,17,2,6,3,8,61,39,1,3,6,12,4,3
7,15237946,Vasco,Fluminense,3,2,V,D,1,0.94,16,14,6,5,5,5,52,48,2,2,9,10,2,0
7,15237951,Grêmio,Vitória,2,0,V,D,0.95,0.4,14,8,4,1,4,5,43,57,1,1,15,17,1,3
7,15237945,Flamengo,Remo,3,0,V,D,0.91,0.65,11,7,3,1,7,2,65,35,2,0,14,11,2,2
7,15237954,Chapecoense,Corinthians,0,0,E,E,0.81,1.26,14,13,4,4,6,4,36,64,2,2,18,11,3,4
8,15237959,RB Bragantino,Botafogo,1,2,D,V,1.85,1.18,18,8,6,3,11,6,59,41,5,2,12,9,2,3
8,15237955,Fluminense,Atlético-MG,1,0,V,D,0.71,1.77,14,14,4,5,3,2,56,44,1,5,18,15,5,5
8,15237957,São Paulo,Palmeiras,0,1,D,V,0.05,0.17,3,6,0,2,10,1,63,37,,,13,21,3,5
8,15237962,Athletico,Coritiba,2,0,V,D,1.08,0.14,6,4,4,1,7,4,53,47,2,0,11,10,0,2
8,15237960,Cruzeiro,Santos,0,0,E,E,1.22,0.12,8,5,3,1,6,0,60,40,1,1,18,16,2,4
8,15237964,Remo,Bahia,4,1,V,D,1.56,1.56,16,11,10,3,5,9,38,62,5,3,15,10,3,1
8,15237956,Vasco,Grêmio,2,1,V,D,1.6,0.54,10,9,5,3,0,2,37,63,4,1,11,4,3,1
8,15237961,Internacional,Chapecoense,2,0,V,D,3.69,0.46,14,10,7,0,4,4,48,52,5,0,16,9,2,3
8,15237963,Vitória,Mirassol,1,0,V,D,0.63,0.84,13,14,6,3,4,5,40,60,0,2,18,8,3,3
8,15237958,Corinthians,Flamengo,1,1,E,E,1.62,0.35,13,10,2,2,6,2,54,46,1,1,21,13,2,3
9,15237966,Botafogo,Mirassol,3,2,V,D,2.66,1.08,11,19,5,4,2,8,35,65,4,1,14,14,3,3
9,15237971,Internacional,São Paulo,1,1,E,E,0.92,0.96,6,15,4,3,2,11,34,66,2,2,18,15,1,1
9,15237973,Bahia,Athletico,3,0,V,D,1,0.58,7,12,5,4,3,1,52,48,3,1,15,19,2,2
9,15237970,Cruzeiro,Vitória,3,0,V,D,1.94,0.12,11,4,6,1,5,6,59,41,2,0,15,12,1,3
9,15237972,Coritiba,Vasco,1,1,E,E,1.58,0.51,18,11,4,2,3,4,65,35,1,0,11,11,2,1
9,15237965,Fluminense,Corinthians,3,1,V,D,2.14,0.56,20,12,10,4,8,10,61,39,4,1,10,13,1,4
9,15235602,Chapecoense,Atlético-MG,0,4,D,V,2.09,1.74,19,20,4,8,7,3,45,55,4,3,19,5,1,0
9,15237967,Santos,Remo,2,0,V,D,1.33,0.39,7,11,3,4,7,4,58,42,2,1,17,14,4,2
9,15237968,Palmeiras,Grêmio,2,1,V,D,0.64,0.54,16,10,4,5,8,2,60,40,,,12,15,0,3
9,15237969,RB Bragantino,Flamengo,3,0,V,D,1.72,0.27,18,7,6,1,7,5,56,44,3,1,12,12,4,1
10,15235504,São Paulo,Cruzeiro,4,1,V,D,2.01,1.52,11,14,5,7,6,4,36,64,3,2,21,14,2,0
10,15235507,Coritiba,Fluminense,1,1,E,E,0.68,1.37,10,15,4,4,3,10,33,67,1,3,8,14,1,0
10,15235514,Vasco,Botafogo,1,2,D,V,2.41,1.19,17,18,5,9,3,2,63,37,4,2,11,16,2,4
10,15235513,Chapecoense,Vitória,1,1,E,E,2.15,1.45,25,15,6,9,9,1,58,42,3,3,16,14,2,3
10,15235503,Atlético-MG,Athletico,2,1,V,D,1.29,0.43,15,11,5,3,2,8,49,51,,,9,13,0,1
10,15235603,Flamengo,Santos,3,1,V,D,2.29,0.77,19,17,4,2,2,7,63,37,5,0,2,12,0,2
10,15235511,Bahia,Palmeiras,1,2,D,V,1.21,0.29,19,8,6,5,7,5,59,41,1,1,18,17,2,4
10,15235509,Corinthians,Internacional,0,1,D,V,1.35,0.37,11,8,2,3,7,4,65,35,2,0,16,19,2,3
10,15235518,Mirassol,RB Bragantino,0,1,D,V,0.68,1.91,15,16,2,5,12,6,54,46,1,4,7,10,2,3
10,15235505,Grêmio,Remo,0,0,E,E,0.84,2.09,20,11,3,4,8,3,63,37,0,2,8,9,2,3
11,15235542,Remo,Vasco,1,1,E,E,0.71,1.33,12,19,2,3,3,6,43,57,2,1,12,10,0,2
11,15235517,Vitória,São Paulo,2,0,V,D,1.35,0.67,15,16,6,5,1,6,41,59,2,2,11,11,2,3
11,15235515,Mirassol,Bahia,1,2,D,V,1.46,1.78,16,14,6,8,8,4,42,58,3,2,20,14,5,1
11,15235510,Santos,Atlético-MG,1,0,V,D,1.28,0.78,18,11,2,3,5,7,45,55,2,1,8,17,3,1
11,15235546,Internacional,Grêmio,0,0,E,E,0.94,0.42,11,4,3,1,8,2,54,46,2,2,19,20,4,3
11,15235543,Athletico,Chapecoense,2,0,V,D,1.31,0.17,14,8,6,1,5,0,58,42,3,0,15,17,2,5
11,15235508,Botafogo,Coritiba,2,2,E,E,2.46,1.32,21,14,8,5,7,4,61,39,4,3,14,7,2,4
11,15235506,Fluminense,Flamengo,1,2,D,V,1.26,2.81,19,17,6,9,8,2,60,40,2,4,14,11,3,3
11,15235512,Corinthians,Palmeiras,0,0,E,E,0.55,0.94,6,16,4,4,2,7,32,68,1,0,17,16,2,1
11,15235516,Cruzeiro,RB Bragantino,2,1,V,D,2.03,0.53,16,16,7,4,2,7,49,51,6,0,16,21,0,2
12,15235526,Chapecoense,Botafogo,1,4,D,V,0.26,1.03,9,13,3,8,4,4,49,51,0,4,6,7,,
12,15235520,Vasco,São Paulo,2,1,V,D,2.18,2.39,20,10,5,4,6,5,62,38,2,5,14,20,1,2
12,15235525,Vitória,Corinthians,0,0,E,E,0.65,0.18,13,7,1,0,4,2,54,46,,,13,14,1,2
12,15235528,Cruzeiro,Grêmio,2,0,V,D,1.84,0.52,18,9,6,1,4,1,41,59,2,1,16,13,4,3
12,15235523,Internacional,Mirassol,1,2,D,V,1.69,1.74,25,10,8,4,11,2,72,28,1,3,6,15,0,4
12,15235524,Coritiba,Atlético-MG,2,0,V,D,1.01,1.29,2,23,2,7,2,8,23,77,1,0,18,10,2,1
12,15235522,Santos,Fluminense,2,3,D,V,1.2,0.8,7,10,4,3,6,4,47,53,4,2,13,14,5,3
12,15235550,Palmeiras,Athletico,1,0,V,D,0.33,0.42,10,9,2,3,9,3,50,50,1,0,9,22,3,4
12,15235521,RB Bragantino,Remo,4,2,V,D,1.56,0.5,16,7,7,3,1,1,51,49,1,1,11,12,1,1
12,15235519,Flamengo,Bahia,2,0,V,D,2.18,0.63,20,13,8,5,6,1,52,48,4,0,12,8,2,0
13,15235537,Bahia,Santos,2,2,E,E,1.24,2.63,18,11,5,5,5,3,64,36,1,4,16,17,3,4
13,15235529,Botafogo,Internacional,2,2,E,E,1.4,0.45,16,8,7,4,3,5,53,47,1,0,16,14,2,3
13,15235536,Remo,Cruzeiro,0,1,D,V,1,0.2,14,6,1,6,4,1,47,53,1,0,15,22,1,3
13,15235530,São Paulo,Mirassol,1,0,V,D,0.94,1.21,17,10,1,1,12,4,53,47,1,1,11,14,1,2
13,15235531,Corinthians,Vasco,1,0,V,D,0.64,1.02,13,21,5,7,5,7,40,60,2,2,12,17,3,4
13,15235534,Grêmio,Coritiba,1,0,V,D,1.09,0.69,22,15,6,4,5,2,56,44,1,2,20,11,3,2
13,15235535,Athletico,Vitória,3,1,V,D,3.63,0.72,23,7,11,2,4,4,61,39,7,1,16,15,6,4
13,15235532,RB Bragantino,Palmeiras,0,1,D,V,1.03,0.46,19,6,4,3,9,4,61,39,1,0,12,17,1,2
13,15235533,Atlético-MG,Flamengo,0,4,D,V,1.37,2.78,18,9,6,6,8,1,51,49,2,3,10,13,1,2
13,15235527,Fluminense,Chapecoense,2,1,V,D,2.83,0.4,30,8,12,3,7,1,71,29,2,0,6,16,1,4